sport_name,year,num_athletes,sport_id
3x3 Basketball,2020,4,SPT_3X3_BASKETBALL
3x3 Basketball,2024,8,SPT_3X3_BASKETBALL
Alpine Skiing,1936,8,SPT_ALPINE_SKIING
Alpine Skiing,1948,13,SPT_ALPINE_SKIING
Alpine Skiing,1952,12,SPT_ALPINE_SKIING
Alpine Skiing,1956,11,SPT_ALPINE_SKIING
Alpine Skiing,1960,14,SPT_ALPINE_SKIING
Alpine Skiing,1964,12,SPT_ALPINE_SKIING
Alpine Skiing,1968,14,SPT_ALPINE_SKIING
Alpine Skiing,1972,13,SPT_ALPINE_SKIING
Alpine Skiing,1976,14,SPT_ALPINE_SKIING
Alpine Skiing,1980,13,SPT_ALPINE_SKIING
Alpine Skiing,1984,14,SPT_ALPINE_SKIING
Alpine Skiing,1988,23,SPT_ALPINE_SKIING
Alpine Skiing,1992,20,SPT_ALPINE_SKIING
Alpine Skiing,1994,22,SPT_ALPINE_SKIING
Alpine Skiing,1998,22,SPT_ALPINE_SKIING
Alpine Skiing,2002,22,SPT_ALPINE_SKIING
Alpine Skiing,2006,17,SPT_ALPINE_SKIING
Alpine Skiing,2010,20,SPT_ALPINE_SKIING
Alpine Skiing,2014,19,SPT_ALPINE_SKIING
Alpine Skiing,2018,20,SPT_ALPINE_SKIING
Alpine Skiing,2022,16,SPT_ALPINE_SKIING
American Football,1904,161,SPT_AMERICAN_FOOTBALL
American Football,1932,49,SPT_AMERICAN_FOOTBALL
Archery,1904,29,SPT_ARCHERY
Archery,1908,2,SPT_ARCHERY
Archery,1972,6,SPT_ARCHERY
Archery,1976,4,SPT_ARCHERY
Archery,1984,6,SPT_ARCHERY
Archery,1988,6,SPT_ARCHERY
Archery,1992,6,SPT_ARCHERY
Archery,1996,6,SPT_ARCHERY
Archery,2000,6,SPT_ARCHERY
Archery,2004,6,SPT_ARCHERY
Archery,2008,5,SPT_ARCHERY
Archery,2012,6,SPT_ARCHERY
Archery,2016,4,SPT_ARCHERY
Archery,2020,6,SPT_ARCHERY
Archery,2024,4,SPT_ARCHERY
Architecture,1928,11,SPT_ARCHITECTURE
Architecture,1932,21,SPT_ARCHITECTURE
Architecture,1936,11,SPT_ARCHITECTURE
Artistic Gymnastics,1904,126,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1912,1,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1920,4,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1924,11,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1928,8,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1932,20,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1936,16,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1948,18,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1952,16,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1956,14,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1960,12,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1964,12,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1968,14,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1972,14,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1976,14,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1984,14,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1988,14,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1992,12,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,1996,14,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,2000,12,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,2004,12,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,2008,12,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,2012,10,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,2016,10,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,2020,11,SPT_ARTISTIC_GYMNASTICS
Artistic Gymnastics,2024,10,SPT_ARTISTIC_GYMNASTICS
Artistic Swimming,1984,3,SPT_ARTISTIC_SWIMMING
Artistic Swimming,1988,3,SPT_ARTISTIC_SWIMMING
Artistic Swimming,1992,3,SPT_ARTISTIC_SWIMMING
Artistic Swimming,1996,10,SPT_ARTISTIC_SWIMMING
Artistic Swimming,2000,9,SPT_ARTISTIC_SWIMMING
Artistic Swimming,2004,9,SPT_ARTISTIC_SWIMMING
Artistic Swimming,2008,9,SPT_ARTISTIC_SWIMMING
Artistic Swimming,2012,2,SPT_ARTISTIC_SWIMMING
Artistic Swimming,2016,2,SPT_ARTISTIC_SWIMMING
Artistic Swimming,2020,2,SPT_ARTISTIC_SWIMMING
Artistic Swimming,2024,8,SPT_ARTISTIC_SWIMMING
Athletics,1896,14,SPT_ATHLETICS
Athletics,1900,59,SPT_ATHLETICS
Athletics,1904,442,SPT_ATHLETICS
Athletics,1906,35,SPT_ATHLETICS
Athletics,1908,113,SPT_ATHLETICS
Athletics,1912,140,SPT_ATHLETICS
Athletics,1920,93,SPT_ATHLETICS
Athletics,1924,101,SPT_ATHLETICS
Athletics,1928,101,SPT_ATHLETICS
Athletics,1932,85,SPT_ATHLETICS
Athletics,1936,82,SPT_ATHLETICS
Athletics,1948,77,SPT_ATHLETICS
Athletics,1952,73,SPT_ATHLETICS
Athletics,1956,83,SPT_ATHLETICS
Athletics,1960,83,SPT_ATHLETICS
Athletics,1964,87,SPT_ATHLETICS
Athletics,1968,93,SPT_ATHLETICS
Athletics,1972,101,SPT_ATHLETICS
Athletics,1976,95,SPT_ATHLETICS
Athletics,1984,123,SPT_ATHLETICS
Athletics,1988,122,SPT_ATHLETICS
Athletics,1992,122,SPT_ATHLETICS
Athletics,1996,127,SPT_ATHLETICS
Athletics,2000,118,SPT_ATHLETICS
Athletics,2004,121,SPT_ATHLETICS
Athletics,2008,126,SPT_ATHLETICS
Athletics,2012,123,SPT_ATHLETICS
Athletics,2016,128,SPT_ATHLETICS
Athletics,2020,128,SPT_ATHLETICS
Athletics,2024,117,SPT_ATHLETICS
Badminton,1992,6,SPT_BADMINTON
Badminton,1996,3,SPT_BADMINTON
Badminton,2000,1,SPT_BADMINTON
Badminton,2004,2,SPT_BADMINTON
Badminton,2008,5,SPT_BADMINTON
Badminton,2012,3,SPT_BADMINTON
Badminton,2016,7,SPT_BADMINTON
Badminton,2020,4,SPT_BADMINTON
Badminton,2024,7,SPT_BADMINTON
Baseball,1912,32,SPT_BASEBALL
Baseball,1936,21,SPT_BASEBALL
Baseball,1956,19,SPT_BASEBALL
Baseball,1964,19,SPT_BASEBALL
Baseball,1984,20,SPT_BASEBALL
Baseball,1988,20,SPT_BASEBALL
Baseball,1992,20,SPT_BASEBALL
Baseball,1996,20,SPT_BASEBALL
Baseball,2000,24,SPT_BASEBALL
Baseball,2008,24,SPT_BASEBALL
Baseball,2020,24,SPT_BASEBALL
Basketball,1904,40,SPT_BASKETBALL
Basketball,1936,14,SPT_BASKETBALL
Basketball,1948,14,SPT_BASKETBALL
Basketball,1952,14,SPT_BASKETBALL
Basketball,1956,12,SPT_BASKETBALL
Basketball,1960,12,SPT_BASKETBALL
Basketball,1964,12,SPT_BASKETBALL
Basketball,1968,12,SPT_BASKETBALL
Basketball,1972,12,SPT_BASKETBALL
Basketball,1976,24,SPT_BASKETBALL
Basketball,1984,24,SPT_BASKETBALL
Basketball,1988,24,SPT_BASKETBALL
Basketball,1992,24,SPT_BASKETBALL
Basketball,1996,24,SPT_BASKETBALL
Basketball,2000,24,SPT_BASKETBALL
Basketball,2004,24,SPT_BASKETBALL
Basketball,2008,24,SPT_BASKETBALL
Basketball,2012,24,SPT_BASKETBALL
Basketball,2016,24,SPT_BASKETBALL
Basketball,2020,24,SPT_BASKETBALL
Basketball,2024,24,SPT_BASKETBALL
Basque pelota,1968,14,SPT_BASQUE_PELOTA
Beach Volleyball,1996,12,SPT_BEACH_VOLLEYBALL
Beach Volleyball,2000,8,SPT_BEACH_VOLLEYBALL
Beach Volleyball,2004,8,SPT_BEACH_VOLLEYBALL
Beach Volleyball,2008,8,SPT_BEACH_VOLLEYBALL
Beach Volleyball,2012,8,SPT_BEACH_VOLLEYBALL
Beach Volleyball,2016,8,SPT_BEACH_VOLLEYBALL
Beach Volleyball,2020,8,SPT_BEACH_VOLLEYBALL
Beach Volleyball,2024,8,SPT_BEACH_VOLLEYBALL
Biathlon,1960,4,SPT_BIATHLON
Biathlon,1964,4,SPT_BIATHLON
Biathlon,1968,5,SPT_BIATHLON
Biathlon,1972,4,SPT_BIATHLON
Biathlon,1976,5,SPT_BIATHLON
Biathlon,1980,6,SPT_BIATHLON
Biathlon,1984,6,SPT_BIATHLON
Biathlon,1988,5,SPT_BIATHLON
Biathlon,1992,11,SPT_BIATHLON
Biathlon,1994,9,SPT_BIATHLON
Biathlon,1998,9,SPT_BIATHLON
Biathlon,2002,8,SPT_BIATHLON
Biathlon,2006,9,SPT_BIATHLON
Biathlon,2010,9,SPT_BIATHLON
Biathlon,2014,10,SPT_BIATHLON
Biathlon,2018,8,SPT_BIATHLON
Biathlon,2022,8,SPT_BIATHLON
Bobsleigh,1928,10,SPT_BOBSLEIGH
Bobsleigh,1932,16,SPT_BOBSLEIGH
Bobsleigh,1936,11,SPT_BOBSLEIGH
Bobsleigh,1948,12,SPT_BOBSLEIGH
Bobsleigh,1952,10,SPT_BOBSLEIGH
Bobsleigh,1956,11,SPT_BOBSLEIGH
Bobsleigh,1964,9,SPT_BOBSLEIGH
Bobsleigh,1968,10,SPT_BOBSLEIGH
Bobsleigh,1972,9,SPT_BOBSLEIGH
Bobsleigh,1976,9,SPT_BOBSLEIGH
Bobsleigh,1980,9,SPT_BOBSLEIGH
Bobsleigh,1984,10,SPT_BOBSLEIGH
Bobsleigh,1988,9,SPT_BOBSLEIGH
Bobsleigh,1992,12,SPT_BOBSLEIGH
Bobsleigh,1994,10,SPT_BOBSLEIGH
Bobsleigh,1998,8,SPT_BOBSLEIGH
Bobsleigh,2002,13,SPT_BOBSLEIGH
Bobsleigh,2006,12,SPT_BOBSLEIGH
Bobsleigh,2010,18,SPT_BOBSLEIGH
Bobsleigh,2014,15,SPT_BOBSLEIGH
Bobsleigh,2018,16,SPT_BOBSLEIGH
Bobsleigh,2022,12,SPT_BOBSLEIGH
Bowling,1988,2,SPT_BOWLING
Boxing,1904,23,SPT_BOXING
Boxing,1920,16,SPT_BOXING
Boxing,1924,24,SPT_BOXING
Boxing,1928,15,SPT_BOXING
Boxing,1932,8,SPT_BOXING
Boxing,1936,16,SPT_BOXING
Boxing,1948,16,SPT_BOXING
Boxing,1952,14,SPT_BOXING
Boxing,1956,8,SPT_BOXING
Boxing,1960,10,SPT_BOXING
Boxing,1964,10,SPT_BOXING
Boxing,1968,11,SPT_BOXING
Boxing,1972,11,SPT_BOXING
Boxing,1976,11,SPT_BOXING
Boxing,1984,12,SPT_BOXING
Boxing,1988,12,SPT_BOXING
Boxing,1992,12,SPT_BOXING
Boxing,1996,12,SPT_BOXING
Boxing,2000,12,SPT_BOXING
Boxing,2004,9,SPT_BOXING
Boxing,2008,9,SPT_BOXING
Boxing,2012,12,SPT_BOXING
Boxing,2016,8,SPT_BOXING
Boxing,2020,10,SPT_BOXING
Boxing,2024,8,SPT_BOXING
Breaking,2024,4,SPT_BREAKING
Canoe Slalom,1972,13,SPT_CANOE_SLALOM
Canoe Slalom,1992,15,SPT_CANOE_SLALOM
Canoe Slalom,1996,9,SPT_CANOE_SLALOM
Canoe Slalom,2000,5,SPT_CANOE_SLALOM
Canoe Slalom,2004,6,SPT_CANOE_SLALOM
Canoe Slalom,2008,5,SPT_CANOE_SLALOM
Canoe Slalom,2012,5,SPT_CANOE_SLALOM
Canoe Slalom,2016,4,SPT_CANOE_SLALOM
Canoe Slalom,2020,3,SPT_CANOE_SLALOM
Canoe Slalom,2024,2,SPT_CANOE_SLALOM
Canoe Sprint,1924,4,SPT_CANOE_SPRINT
Canoe Sprint,1936,10,SPT_CANOE_SPRINT
Canoe Sprint,1948,8,SPT_CANOE_SPRINT
Canoe Sprint,1952,9,SPT_CANOE_SPRINT
Canoe Sprint,1956,12,SPT_CANOE_SPRINT
Canoe Sprint,1960,13,SPT_CANOE_SPRINT
Canoe Sprint,1964,11,SPT_CANOE_SPRINT
Canoe Sprint,1968,12,SPT_CANOE_SPRINT
Canoe Sprint,1972,13,SPT_CANOE_SPRINT
Canoe Sprint,1976,16,SPT_CANOE_SPRINT
Canoe Sprint,1984,16,SPT_CANOE_SPRINT
Canoe Sprint,1988,16,SPT_CANOE_SPRINT
Canoe Sprint,1992,17,SPT_CANOE_SPRINT
Canoe Sprint,1996,16,SPT_CANOE_SPRINT
Canoe Sprint,2000,9,SPT_CANOE_SPRINT
Canoe Sprint,2004,11,SPT_CANOE_SPRINT
Canoe Sprint,2008,2,SPT_CANOE_SPRINT
Canoe Sprint,2012,2,SPT_CANOE_SPRINT
Canoe Sprint,2016,1,SPT_CANOE_SPRINT
Canoe Sprint,2020,1,SPT_CANOE_SPRINT
Canoe Sprint,2024,3,SPT_CANOE_SPRINT
Cross Country Skiing,1924,4,SPT_CROSS_COUNTRY_SKIING
