athlete_id,name,birth_year,birth_city,birth_state,height,weight,sport_clean,is_paralympic
78175,Tom Burke,1875,Boston,MA,183 cm,66 kg,Athletics,False
78676,Frank Lane,1874,Chicago,IL,170 cm,69 kg,Athletics,False
78290,Tom Curtis,1873,San Francisco,CA,176 cm,66 kg,Athletics,False
922412,Ralph Derr,1875,Wilkes-Barre,PA,,,Athletics,False
891621,Charles Vanoni,1876,New York,NY,,,Athletics,False
78596,Herbert Jamison,1875,Peoria,IL,173 cm,69 kg,Athletics,False
78121,Arthur C. Blake,1872,Boston,MA,,,Athletics,False
78578,Bill Hoyt,1875,Glastonbury,CT,,,Athletics,False
922414,Fred Lord,1871,New York,NY,,,Athletics,False
78257,James B. Connolly,1868,South Boston,MA,175 cm,72 kg,Athletics,False
78231,Ellery Clark,1874,West Roxbury,MA,180 cm,,Athletics,False
78439,Bob Garrett,1875,Baltimore,MD,188 cm,81 kg,Athletics,False
79145,Albert Tyler,1872,Glendale,OH,,,Athletics,False
23813,Albertson Van Zo Post,1866,Cincinnati,OH,183 cm,,Fencing,False
44732,Sumner Paine,1868,Boston,MA,,,Shooting,False
44788,Charles Waldstein,1856,New York,NY,,,Shooting,False
44731,John Paine,1870,Boston,MA,,,Shooting,False
51616,Gardner Williams,1877,Jamaica Plain,MA,,,Swimming,False
78667,Al Kraenzlein,1876,Minneapolis,MN,183 cm,75 kg,Athletics,False
79119,Walter Tewksbury,1876,Ashley,PA,183 cm,64 kg,Athletics,False
78797,Edmund Minahan,1882,Springfield,OH,183 cm,86 kg,Athletics,False
78564,Bill Holland,1874,Boston,MA,,,Athletics,False
78599,Frank Jarvis,1878,California,PA,167 cm,58 kg,Athletics,False
78345,Arthur Duffey,1879,Roxbury,MA,170 cm,62 kg,Athletics,False
78689,Clark Leiblee,1877,Troy,PA,,,Athletics,False
78124,Dixon Boardman,1880,Nutley,NJ,,,Athletics,False
78179,Charles Burroughs,1876,Washington County,IA,,,Athletics,False
78800,Fred Moloney,1882,Ottawa,IL,,,Athletics,False
78755,Thaddeus McClain,1876,Milesburg,PA,,,Athletics,False
79049,Henry Slack,1877,Chicago,IL,,,Athletics,False
79012,Justus Scrafford,1878,Washington Mills,NY,,,Athletics,False
891679,Albert Witbeck,1881,Troy,NY,,,Athletics,False
78711,Maxey Long,1878,Waverley,MA,182 cm,75 kg,Athletics,False
78801,William Moloney,1876,Ottawa,IL,,,Athletics,False
78687,Harry Lee,1877,Waterloo,NY,,,Athletics,False
78714,Harvey Lord,1878,Evanston,IL,,,Athletics,False
78343,Walter Drumheller,1878,Sunbury,PA,,,Athletics,False
79056,Harrison Smith,1876,Winchester,NH,,,Athletics,False
78277,John Cregan,1878,Schenectady,NY,,,Athletics,False
78143,John Bray,1875,Middleport,NY,,,Athletics,False
78531,Howard Hayes,1877,Steubenville,OH,,,Athletics,False
78183,Edward Bushnell,1876,Republican City,NE,,,Athletics,False
78777,Edward Mechling,1878,Hosensack,NJ,,,Athletics,False
78180,Wilbur Burroughs,1884,Edwardsville,IL,188 cm,89 kg,Athletics,False
78841,Arthur Newton,1883,Woodstock,VT,160 cm,51 kg,Athletics,False
78769,John McLean,1878,Menominee,MI,,,Athletics,False
78694,William Lewis,1876,Canandaigua,NY,,,Athletics,False
78941,William Remington,1879,Philadelphia,PA,,,Athletics,False
78090,Irv Baxter,1876,Utica,NY,,,Athletics,False
922423,Walter Carroll,1876,Baltimore,MD,,,Athletics,False
78385,Ray Ewry,1873,Lafayette,IN,185 cm,79 kg,Athletics,False
79028,Lewis Sheldon,1874,Rutland,VT,,,Athletics,False
78572,Daniel Horton,1879,New York,NY,,,Athletics,False
79029,Dick Sheldon,1878,Rutland,VT,,,Athletics,False
78759,Josiah McCracken,1874,Lincoln,IL,,,Athletics,False
78514,Truxtun Hare,1878,Philadelphia,PA,185 cm,90 kg,Athletics,False
890886,Bascom Johnson,1878,Washington,DC,,,Athletics,False
78247,Meredith Colket,1878,Philadelphia,PA,,,Athletics,False
78355,Charles Dvorak,1878,Chicago,IL,,,Athletics,False
922424,Alex Coleman,1879,Goshen,NY,,,Athletics,False
890872,James Jameson,1878,Antrim,NH,,,Athletics,False
2700067,James Maybury,1875,St. Cloud,MN,,,Athletics,False
15210,John Lake,1877,Port Richmond,NY,172 cm,,Cycling Track,False
890355,Tom Cooper,1873,Detroit,MI,,,Cycling Track,False
891095,Floyd McFarland,1876,San Jose,CA,193 cm,,Cycling Track,False
890060,George Banker,1873,Worcester,OH,,,Cycling Track,False
2304387,George Hale,1849,St. Lawrence County,NY,,,Firefighting,False
2304407,John Egner,1860,Chicago,IL,,,Firefighting,False
2304408,George Roberts,1861,Jefferson County,OH,,,Firefighting,False
2304409,John Mahar,1865,?,IA,,,Firefighting,False
2304411,Lon Hale,1855,Colton,NY,,,Firefighting,False
2304412,James Gillpatrick,1870,Freeman,MO,,,Firefighting,False
2304413,John Evans,1871,?,PA,,,Firefighting,False
2304414,John Lynch,1871,Kansas City,MO,,,Firefighting,False
2304415,John Williams,1905,Kansas City,MO,,,Firefighting,False
2304416,John M. Canaday,1859,Indianapolis,IN,,,Firefighting,False
2304417,Thomas O'Connor,1867,Brocton,NY,,,Firefighting,False
2304418,Mike O'Connor,1872,Brocton,NY,,,Firefighting,False
2786,Charles Sands,1865,New York,NY,181 cm,,Golf,False
18205,Frederick Taylor,1856,Germantown,PA,,,Golf,False
2796,Charles Voigt,1869,San Jose,CA,,,Golf,False
18139,Mary Abbott,1857,Salem,MA,,,Golf,False
891140,Bradley Martin,1873,New York,NY,,,Polo,False
40641,"John Exley, Jr.",1867,Philadelphia,PA,185 cm,72 kg,Rowing,False
40610,Harry DeBaecke,1879,Philadelphia,PA,185 cm,72 kg,Rowing,False
40730,Jim Juvenal,1874,Philadelphia,PA,178 cm,73 kg,Rowing,False
40670,John Geiger,1873,Philadelphia,PA,188 cm,83 kg,Rowing,False
40696,Ed Hedley,1864,Philadelphia,PA,180 cm,73 kg,Rowing,False
40769,Ed Marsh,1874,Philadelphia,PA,,,Rowing,False
40755,Roscoe Lockwood,1875,Upper Pittsgrove,NJ,175 cm,71 kg,Rowing,False
40526,Lou Abell,1884,Elizabeth,NJ,165 cm,53 kg,Rowing,False
138432,Daniel Ridgway Knight,1839,Chambersburg,PA,,,Sailing,False
44755,Reginald Sayre,1859,New York,NY,,,Shooting,False
44606,Charles Axtell,1859,Hyannis,MA,,,Shooting,False
1500584,Theodor Geisel,1879,Springfield,MA,,,Shooting,False
1501029,Crittenden Robinson,1857,?,NC,,,Shooting,False
1500903,Edgar Murphy,1931,New York,NY,,,Shooting,False
1501088,Tod Sloan,1874,Bunker Hill,IN,,,Shooting,False
1200984,Albert Spalding,1850,Byron,IL,,,Shooting,False
1501146,Denis Upson,1861,Farmington,CT,,,Shooting,False
102419,Bill Tuttle,1882,Chicago,IL,,,Swimming,False
2755,Spalding de Garmendia,1860,Baltimore,MD,,,Tennis,False
1805040,Wylie Grant,1879,Brooklyn,NY,,,Tennis,False
1500132,Frederick Bridgman,1847,Tuskegee,AL,,,Tennis,False
2736,Marion Jones,1879,Gold Hill,NV,,,Tennis,False
2735,Georgina Jones,1882,New York,NY,,,Tennis,False
890420,Mary de Garmendia,1868,New York,NY,,,Tennis,False
892504,Walter Langston,1884,Springfield,MO,,,American Football,False
892505,Arch Lowe,1883,Springfield,MO,,,American Football,False
892471,John Aiken,1883,Pawhuska,OK,,55 kg,American Football,False
892472,Chauncey Archiquette,1877,Onieda Reservation,WI,,,American Football,False
892477,Herbert Fallis,1881,Lower Brulé Indian Reservation,SD,,,American Football,False
892478,Louis Felix,1880,?,MN,,70 kg,American Football,False
