athlete_id,name,birth_city,birth_state,sport,is_paralympic
para_1,Jaclyn			  Hamwey,Boston,MA,Para Snowboarding,True
para_2,Katie (Holloway) Bridge,Lake Stevens,WA,Sitting Volleyball,True
para_3,Mason Abbiate,San Diego,CA,Soccer,True
para_4,Zachary Abbott,Portland,,Para Track and Field,True
para_5,David Abrahams,Havertown,PA,Para Swimming,True
para_6,Sarah Adam,Naperville,IL,Wheelchair Rugby,True
para_7,Blake Adams,Lakeville,,Para Swimming,True
para_8,Jake Adicoff,Sun Valley,ID,Para Nordic Skiing,True
para_9,Ariana Aguila-Ramos,Houston,TX,Para Taekwondo,True
para_10,Chris Ahrens,Pulaski,,Soccer 7-A-Side,True
para_11,Cristina Albert,Denver,CO,Para Snowboarding,True
para_12,Alejandro Albor,Elk Grove,,,True
para_13,Allison Aldrich,Schuyler,,,True
para_14,Kelly Allen,Kingsford,MI,Canoe/Kayak,True
para_15,Jazmin Almlie-Ryan,Katy,TX,Para Shooting,True
para_16,Benjamin Aman,Edmond,OK,Sitting Volleyball,True
para_17,Danny Andrews,Miami,,,True
para_18,Cheryl Angelelli-Kornoelje,Detroit,,Para Swimming,True
para_19,Tim Angle,Somerville,,Sailing,True
para_20,Chuck Aoki,Minneapolis,MN,Wheelchair Rugby,True
para_21,Jared Arambula,Valparaiso,IN,Wheelchair Basketball,True
para_22,Dani Aravich,Boise,ID,"Para Nordic Skiing, Para Track and Field",True
para_23,Victoria Arlen,Exeter,,Para Swimming,True
para_24,Jen Armbruster,Portland,OR,Goalball,True
para_25,Beth Arnoult,Paia,,,True
para_26,Josie Aslakson,Jordan,MN,Wheelchair Basketball,True
para_27,Hannah Aspden,Raleigh,NC,Para Swimming,True
para_28,Evan Austin,Terre Haute,IN,Para Swimming,True
para_29,Jerome Avery,Lemoore,CA,Para Track and Field,True
para_30,Femita Ayanbeku,Boston,MA,Para Track and Field,True
para_31,Mallerie Badgett,Oxford,,,True
para_32,Joe Bailey,Flushing,,,True
para_33,Kendall Bailey,La Jolla,,,True
para_34,Elizabeth Baker,Roswell,GA,Triathlon,True
para_35,Steve Baldwin,San Diego,CA,Wheelchair Tennis,True
para_36,Robert Balk,,,Canoe/Kayak,True
para_37,Maddy Ball,"Delray Beach, Fla.",,,True
para_38,Lindsay Ball,Benton,,,True
para_39,Adam Ballou,Virginia Beach,VA,Soccer,True
para_40,Jasmin Bambur,Granby,CO,Para Alpine Skiing,True
para_41,Eric Barber,Chicago,,,True
para_42,Stetson Bardfield,Colorado Springs,CO,Para Shooting,True
para_43,Jaclyn Barnes,Wadsworth,,,True
para_44,Shelby Baron,Honolulu,HI,Wheelchair Tennis,True
para_45,Mark Barr,Davis,CA,Paratriathlon,True
para_46,Diane Barras,Bethel ,,,True
para_47,Sydney Barta,Arlington,VA,Para Track and Field,True
para_48,Bryan Barten,Hart,MI,Wheelchair Tennis,True
para_49,Monica Bascio,Evergreen,CO,Para-Cycling,True
para_50,Scout Bassett,Harbor Springs,MI,Para Track and Field,True
para_51,Mark Bathum,Seattle,WA,Para Alpine Skiing,True
para_52,Abby Bauleke,Savage,MN,Wheelchair Basketball,True
para_53,Erik Bayindirli,Deer Mountain,,,True
para_54,Kayden Beasley,Coats,NC,Sled Hockey,True
para_55,Kelley Becherer,Sheboygan,,Para Swimming,True
para_56,Brian Bell,Birmingham,AL,Wheelchair Basketball,True
para_57,Eric Bennett,Surprise,AZ,Para Archery,True
para_58,Tyler Bennett,Wadsworth,OH,Soccer,True
para_59,Haley Beranbaum,Snohomish,WA,Para Swimming,True
para_60,Joe Berenyi,Aurora,IL,Para-Cycling,True
para_61,Omar Bermejo,Grand Rapids,MI,Para Nordic Skiing,True
para_62,Korban Best,Southlake,TX,Para Track and Field,True
para_63,Natalie Bieule,Pembroke Pines,FL,Para Track and Field,True
para_64,Sarah Binsfeld,Vadnals Heights,,,True
para_65,Jordan Bird,Wichita,,,True
para_66,Jim Bob Bizzell,Odessa,,,True
para_67,Michael Blabac,Buffalo,,,True
para_68,Kirk Black,San Antonio,TX,Wheelchair Curling,True
para_69,Jaydin Blackwell,Oak Park,MI,Para Track and Field,True
