hometown_id,city_name,state_code,latitude,longitude,state_latitude,state_longitude,total_athletes,ht_name,region,elevation,distance_to_west_coast_km,distance_to_east_coast_km,distance_to_nearest_coast_km,climate_zone
HT_TX_Abilene,Abilene,TX,32.44645,-99.7475905,31.9686,-99.9018,1,"Abilene, TX",South,534.0,2143.635818216761,2468.331215516308,512.8614197690664,Tropical/Subtropical
HT_WA_Acme,Acme,WA,48.7286565,-122.231472,47.4009,-121.4905,1,"Acme, WA",West,326.0,1217.0337331983476,3855.104271510226,125.03416165611787,Cold Temperate
HT_MD_Adamstown,Adamstown,MD,39.308889,-77.466733,39.0639,-76.8021,1,"Adamstown, MD",South,100.0,3882.048154273256,334.03970219709106,334.03970219709106,Subtropical
HT_SC_Aiken,Aiken,SC,33.5723191,-81.6182086,34.0007,-81.1637,1,"Aiken, SC",South,122.0,3693.897855602761,1040.9222207842029,1040.9222207842029,Tropical/Subtropical
HT_CA_Alameda,Alameda,CA,37.6090291,-121.899142,36.1162,-119.6816,1,"Alameda, CA",West,226.0,49.44137346152768,4102.389010010203,49.44137346152768,Subtropical
HT_NM_Albuquerque,Albuquerque,NM,35.0841034,-106.650985,34.8405,-106.2371,1,"Albuquerque, NM",West,1513.0,1443.2891454650726,2920.625955089023,1213.0898498328654,Montane
HT_IL_Algonquin,Algonquin,IL,42.1655801,-88.2942493,40.3495,-88.9861,1,"Algonquin, IL",Midwest,228.0,2935.7425746510207,1203.5272998371172,1203.5272998371172,Temperate
HT_NY_Allegany,Allegany,NY,42.2446061,-78.0419281,42.1657,-74.9481,1,"Allegany, NY",Northeast,415.0,3778.292969075488,377.5353935204793,377.5353935204793,Temperate
HT_PA_Allentown,Allentown,PA,40.6022552,-75.4716115,40.5908,-77.2098,1,"Allentown, PA",Northeast,115.0,4020.0926247902603,124.5504659885829,124.5504659885829,Temperate
HT_GA_Alpharetta,Alpharetta,GA,34.0755962,-84.2945964,33.0406,-83.6431,1,"Alpharetta, GA",South,345.0,3441.264789139246,1170.1562498318672,1150.6735932171698,Tropical/Subtropical
HT_FL_Alva,Alva,FL,26.7156236,-81.6100797,27.9947,-81.7603,1,"Alva, FL",South,14.0,4001.1898853595444,1703.2979944318872,1390.9690175797086,Tropical/Subtropical
HT_NY_Amityville,Amityville,NY,40.6789893,-73.4170673,42.1657,-74.9481,1,"Amityville, NY",Northeast,10.0,4188.633379476184,49.91830835562589,49.91830835562589,Temperate
HT_MA_Andover,Andover,MA,42.65717,-71.1408776,42.2352,-71.0275,1,"Andover, MA",Northeast,54.0,4331.476414211141,321.74015502424675,321.74015502424675,Temperate
HT_MI_Ann_Arbor,Ann Arbor,MI,42.2813722,-83.7484616,43.3266,-84.5361,3,"Ann Arbor, MI",Midwest,261.0,3309.706643589341,831.4347244972068,831.4347244972068,Temperate
HT_CT_Ansonia,Ansonia,CT,41.3434295,-73.0441144,41.5978,-72.7554,1,"Ansonia, CT",Northeast,144.0,4204.444051279052,106.99697071811218,106.99697071811218,Temperate
HT_CA_Antioch,Antioch,CA,38.0093296,-121.8106925,36.1162,-119.6816,1,"Antioch, CA",West,11.0,59.53015111022521,4079.9486680414843,59.53015111022521,Subtropical
HT_FL_Apollo_Beach,Apollo Beach,FL,27.7729445,-82.3981375,27.9947,-81.7603,1,"Apollo Beach, FL",South,3.0,3877.714102683529,1628.3764242346876,1285.0423121604247,Tropical/Subtropical
HT_OK_Ardmore,Ardmore,OK,34.1729273,-97.1309119,35.5653,-96.9289,1,"Ardmore, OK",South,278.0,2308.277589090074,2163.509092300361,516.8048812644992,Tropical/Subtropical
HT_TX_Arlington,Arlington,TX,32.7355816,-97.1071186,31.9686,-99.9018,1,"Arlington, TX",South,190.0,2362.437387443289,2236.7804383893686,369.03613448111895,Tropical/Subtropical
HT_VA_Arlington,Arlington,VA,38.8769326,-77.0893094,37.7693,-78.1694,1,"Arlington, VA",South,68.0,3924.2875427368826,333.5621565545183,333.5621565545183,Subtropical
HT_WA_Arlington,Arlington,WA,48.1810957,-122.1389548,47.4009,-121.4905,1,"Arlington, WA",West,37.0,1156.2748737630006,3854.164957694162,65.53298992732063,Cold Temperate
