hometown_id,total_athletes,city_name,state_code,latitude,longitude,state_latitude,state_longitude,ht_name,region,elevation,distance_to_west_coast_km,distance_to_east_coast_km,distance_to_nearest_coast_km,climate_zone
HT_AK_Adah,1,Adah,AK,51.8964648,-176.9219968,64.0685,-152.2782,"Adah, AK",Alaska/Hawaii,271.0,3662.540493430684,510.93584387553193,510.93584387553193,Cold Temperate
HT_AK_Anchorage,23,Anchorage,AK,61.2163129,-149.894852,64.0685,-152.2782,"Anchorage, AK",Alaska/Hawaii,2.0,3229.4832093346718,5423.790077498586,2313.794519737997,Cold Temperate
HT_AK_Eagle_River,1,Eagle River,AK,61.2700284,-149.3863924,64.0685,-152.2782,"Eagle River, AK",Alaska/Hawaii,2.0,3213.0300654817465,5395.843840771252,2292.7272976623594,Cold Temperate
HT_AK_Fairbanks,8,Fairbanks,AK,64.837845,-147.716675,64.0685,-152.2782,"Fairbanks, AK",Alaska/Hawaii,2.0,3437.02065828393,5250.1113718091865,2447.161148309131,Cold Temperate
HT_AK_Glennallen,1,Glennallen,AK,62.1371485,-145.8220535,64.0685,-152.2782,"Glennallen, AK",Alaska/Hawaii,2.0,3148.714723182692,5193.974342258376,2187.0451232309124,Cold Temperate
HT_AK_Haines,1,Haines,AK,59.0831232,-135.3430573,64.0685,-152.2782,"Haines, AK",Alaska/Hawaii,2.0,2544.679722292431,4650.818784463679,1537.5709677695295,Cold Temperate
HT_AK_Homer,3,Homer,AK,59.6454064,-151.5445643,64.0685,-152.2782,"Homer, AK",Alaska/Hawaii,47.0,3190.374404466536,5551.80272752585,2321.392125751512,Cold Temperate
HT_AK_Juneau,1,Juneau,AK,58.3019613,-134.4196751,64.0685,-152.2782,"Juneau, AK",Alaska/Hawaii,10.0,2442.901437877976,4600.51879628357,1436.3557894780765,Cold Temperate
HT_AK_Kasilof,1,Kasilof,AK,60.330143,-151.2366312,64.0685,-152.2782,"Kasilof, AK",Alaska/Hawaii,2.0,3222.918216679927,5516.743418346654,2335.6746686407228,Cold Temperate
HT_AK_Palmer,1,Palmer,AK,61.5995703,-149.11109,64.0685,-152.2782,"Palmer, AK",Alaska/Hawaii,2.0,3226.9427073262273,5374.391833012859,2298.192122547481,Cold Temperate
HT_AK_Unalakleet,1,Unalakleet,AK,63.8730556,-160.7880556,64.0685,-152.2782,"Unalakleet, AK",Alaska/Hawaii,2.0,3856.3303673810783,5888.679216391837,2945.1984141707894,Cold Temperate
HT_AL_?,1,?,AL,33.2588817,-86.8295337,32.8067,-86.7113,"?, AL",South,185.0,3247.1798447416327,1407.3795090318956,898.8038117965945,Tropical/Subtropical
HT_AL_Adger,1,Adger,AL,33.3770561,-87.0936065,32.8067,-86.7113,"Adger, AL",South,137.0,3219.662737091197,1418.138544187073,881.6889079258063,Tropical/Subtropical
HT_AL_Alabaster,1,Alabaster,AL,33.2442813,-86.8163773,32.8067,-86.7113,"Alabaster, AL",South,155.0,3248.868659685718,1407.4708130034944,899.2924800610435,Tropical/Subtropical
HT_AL_Athens,1,Athens,AL,34.8045487,-86.9711698,32.8067,-86.7113,"Athens, AL",South,218.0,3182.370097094164,1315.2815449354384,968.3078820722131,Tropical/Subtropical
HT_AL_Atmore,1,Atmore,AL,31.0237921,-87.4938708,32.8067,-86.7113,"Atmore, AL",South,89.0,3277.3444320999097,1621.1579030546834,769.5822174581116,Tropical/Subtropical
HT_AL_Birmingham,18,Birmingham,AL,33.5206824,-86.8024326,32.8067,-86.7113,"Birmingham, AL",South,186.0,3240.165341236122,1387.0581466654646,912.9489171471689,Tropical/Subtropical
HT_AL_Camden,1,Camden,AL,31.9909813,-87.2905456,32.8067,-86.7113,"Camden, AL",South,65.0,3255.039740131393,1532.68705522538,810.9586349529543,Tropical/Subtropical
HT_AL_Columbia,1,Columbia,AL,31.2928122,-85.1115416,32.8067,-86.7113,"Columbia, AL",South,67.0,3475.7017134918747,1445.044147028104,998.6694362866881,Tropical/Subtropical
HT_AL_Danville,2,Danville,AL,34.4145408,-87.087512,32.8067,-86.7113,"Danville, AL",South,187.0,3184.6359967181415,1348.5243338700886,936.2934116720212,Tropical/Subtropical
HT_AL_Dothan,1,Dothan,AL,31.2237285,-85.3934375,32.8067,-86.7113,"Dothan, AL",South,108.0,3453.7809588268906,1468.3951661462156,971.0788543668898,Tropical/Subtropical
HT_AL_Enterprise,1,Enterprise,AL,31.3151708,-85.8552161,32.8067,-86.7113,"Enterprise, AL",South,110.0,3409.250418624088,1490.073580136893,928.8407806564676,Tropical/Subtropical
HT_AL_Eutaw,3,Eutaw,AL,32.8406848,-87.8875144,32.8067,-86.7113,"Eutaw, AL",South,65.0,3169.435851928743,1513.162386390622,789.6925205791173,Tropical/Subtropical
HT_AL_Evergreen,1,Evergreen,AL,31.4334994,-86.9569176,32.8067,-86.7113,"Evergreen, AL",South,95.0,3307.2573286065854,1552.875724574081,827.6313150163044,Tropical/Subtropical
HT_AL_Florence,1,Florence,AL,34.79981,-87.677251,32.8067,-86.7113,"Florence, AL",South,167.0,3120.532526859492,1369.6439755531082,914.590010396364,Tropical/Subtropical
HT_AL_Fort_McClellan,1,Fort McClellan,AL,33.7350834,-85.7866392,32.8067,-86.7113,"Fort McClellan, AL",South,235.0,3321.9729785858513,1299.1241187655137,1008.7027101780559,Tropical/Subtropical
